H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.039	0.039	0.034	0.022	0.015	0	0.028	0	0.009	0	0.127	0	0.336	0.051	0.078
0	0.054	0.032	0.022	0.015	0.038	0.02	0.003	0.004	0	0.066	0	0.282	0	0.06
0.039	0.054	0.036	0.029	0.004	0.018	0.032	0	0.007	0	0.053	0	0.326	0.051	0.07
0.039	0	0.045	0.022	0.004	0	0.021	0	0.01	0	0.049	0	0.332	0.051	0.069
0.039	0	0.034	0.022	0.004	0.027	0.023	0.003	0.003	0	0.311	0	0.24	0.051	0.087
0.039	0.039	0.055	0.022	0.004	0.025	0.023	0.002	0.015	0	0.216	0	0.436	0.059	0
0.059	0	0.034	0.022	0.015	0.025	0.018	0	0.008	0	0.041	0	0.288	0.051	0.055
0.039	0	0.043	0.022	0.011	0.018	0.03	0	0.004	0	0.378	0	0.278	0	0
0.039	0.039	0.043	0.03	0.004	0.036	0.006	0	0.011	0	0.045	0	0.338	0	0.055
0.039	0.039	0.041	0.022	0.004	0	0.034	0	0.006	0	0.027	0	0.3	0.081	0.055
0.039	0.039	0.07	0.022	0.004	0.023	0.037	0	0.007	0	0.047	0	0.29	0.051	0.055
0.043	0.039	0.032	0.022	0.011	0.03	0.01	0.003	0.009	0	0.554	0	0.342	0.051	0.062
0	0	0.032	0.022	0.007	0.018	0.052	0	0.004	0	0.102	0	0.288	0.051	0.06
0.039	0	0.055	0.039	0.018	0.03	0.035	0	0.009	0	0.108	0	0.338	0.051	0.092
0.039	0.042	0.032	0.028	0.011	0.02	0.038	0.003	0.005	0	0.041	0	0.34	0.051	0.055
0	0.039	0.032	0.022	0.007	0	0.02	0.002	0.004	0	1.12	0	0.364	0	0.055
0.039	0	0.039	0.022	0.004	0.018	0.007	0	0.007	0	0.151	0	0.286	0	0
0.039	0.039	0.04	0.022	0.004	0.018	0.017	0	0.008	0	0.028	0	0.304	0	0.074
0.039	0	0.035	0.022	0.007	0.033	0.008	0	0.006	0	0.419	0	0.422	0.051	0.11
0.039	0.051	0.032	0.039	0.004	0.028	0.005	0	0.009	0	0.482	0	0.36	0.051	0.06
0.039	0.039	0.041	0.032	0.004	0.03	0.046	0	0.004	0	0.028	0	0.254	0	0.066
0.039	0	0.032	0.022	0.015	0.038	0.01	0	0.01	0	0.419	0	0.276	0	0.062
0.039	0	0.032	0.033	0.018	0.032	0.036	0	0.009	0	0.375	0	0.274	0	0.055
0.039	0	0.032	0.029	0.004	0.036	0.034	0.002	0.005	0	0.25	0	0.258	0.051	0.055
0.039	0.039	0.044	0.022	0.011	0	0.027	0.002	0.004	0	0.094	0	0.258	0.051	0.055
0.039	0.041	0	0.052	0.004	0	0.029	0.002	0.004	0	0.059	0	0.264	0	0
0.039	0.042	0.034	0.022	0.011	0.018	0.024	0.002	0.005	0	0.038	0	0.31	0.051	0.06
0.039	0.039	0.038	0.022	0.004	0.036	0.024	0.004	0.006	0	0.042	0	0.252	0	0.055
0.039	0.039	0.035	0.034	0.011	0.018	0.013	0	0.006	0	0.112	0	0.312	0.051	0
0.039	0.039	0.036	0.034	0.015	0.018	0.02	0	0.012	0	0.279	0	0.32	0	0.055
0.039	0.039	0.036	0.027	0.022	0.036	0.005	0	0.011	0	0.326	0	0.35	0.051	0.062
0.079	0	0.034	0.033	0.011	0.034	0.039	0	0.01	0	0.051	0	0.342	0	0.061
0	0.039	0.037	0.033	0.007	0.023	0.036	0	0.014	0	0.182	0	0.434	0.051	0.055
0.049	0.039	0.037	0.056	0.022	0.026	0.022	0	0.01	0	0.08	0	0.402	0.051	0.055
0.042	0.039	0.032	0.066	0.019	0.025	0.026	0.003	0.013	0	0.275	0	0.342	0.051	0.077
0.039	0	0.044	0.027	0.011	0.034	0.012	0.003	0.013	0	0.409	0	0.372	0.051	0.055
0.039	0.039	0.032	0.038	0.011	0.042	0.032	0.005	0.009	0	0.175	0	0.322	0.051	0.064
0.039	0.039	0.037	0.027	0.028	0.047	0.045	0.003	0.008	0	0.163	0	0.36	0.051	0.072
