H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.066	0.127	0.035	0.12	0.061	0.032	0.078	0.742	0.024	0.176	1.67	0	0.398	0.051	0.056
0.063	0.136	0.036	0.137	0.032	0.021	0.033	0.932	0.015	0.307	0.41	0	0.346	0.051	0.074
0.039	0.099	0.036	0.281	0.043	0.024	0.048	1.32	0.024	0.126	0.535	0	0.346	0.062	0.062
0.042	0.069	0.039	0.096	0.026	0.022	0.051	3.09	0.027	0.099	1.97	0	0.474	0	0.06
0.056	0.087	0.053	0.101	0.092	0.022	0.043	2.56	0.027	0.108	2.63	0	0.448	0.051	0.056
0.056	0.082	0.053	0.097	0.092	0.022	0.044	2.56	0.029	0.108	3.06	0	0.464	0.051	0.056
0.039	0.084	0.032	0.022	0.007	0.018	0.006	2.38	0.015	0.086	1.22	0	0.436	0	0.105
0.249	0.039	0.04	0.057	0.043	0.042	0.044	0.018	0.148	0.062	1.72	4	0.614	0.071	0.066
0.039	0.042	0.032	0.039	0.032	0.023	0.027	0.002	0.064	0	0.259	0	0.584	0.051	0.057
0.039	0.041	0.035	0.029	0.027	0.043	0.121	0.009	0.042	0.056	0.202	0	0.636	0.061	0.073
0.039	0.039	0.032	0.022	0.043	0.03	0.072	0.02	0.044	0.056	0.194	1	0.62	0.061	0.081
0.042	0.039	0.035	0.117	0.142	0.022	0.14	0.003	0.13	0	0.76	0	0.474	0.125	0.145
0.039	0.116	0.032	0.022	0.051	0.027	0.052	0.64	0.019	0.298	0.592	0	0.478	0.051	0.063
0.039	0.078	0	0.022	0.018	0.018	0.01	1.07	0.009	0.197	2.86	0	0.5	0.051	0.058
0.059	0.039	0.032	0.036	0.004	0.038	0.029	0.162	0.018	0.073	0.904	0	0.482	0.062	0.055
0.042	0.062	0	0.039	0.028	0.036	0.014	0.009	0.034	0.067	0.14	0	0.514	0.051	0.058
0.057	0.044	0.032	0.036	0.043	0.034	0.024	0.012	0.016	0.056	0.206	0	0.536	0.058	0.064
0.964	0.044	0.035	0	1.08	0.048	0.518	0.445	1.03	0.297	0.407	0	0.614	0.058	0.106
0.039	0.061	0.032	0.062	0.024	0.018	0.007	0.799	0.007	0.118	1.49	0	0.472	0.051	0.07
0.039	0.13	0.061	0.022	0.017	0.03	0.049	0.264	0.006	0.07	1.53	0	0.476	0.051	0
0.039	0.053	0.032	0.027	0.01	0.025	0.006	0.426	0.01	0.095	1.48	0	0.44	0	0.065
0.039	0.085	0.043	0.042	0.014	0.028	0.01	0.517	0.011	0.056	1.05	0	0.466	0.063	0.055
0.039	0.079	0.041	0.028	0.187	0.031	0.04	0.055	0.018	0.165	0.33	0	0.498	0.073	0.061
0.795	0.039	0.032	0.022	0.725	0.025	0.531	0.538	0.941	0.347	0.316	1	0.66	0.076	0.154
1.35	0.047	0.044	0.022	1.12	0.036	0.923	1.07	0.476	0.362	0.384	7	0.634	0.167	0.146
0.039	0.039	0.032	0.022	0.02	0.041	0.007	0.003	0.29	0	0.51	0	0.6	0.81	0.99
0.039	0.256	0.038	0.022	0.172	0.023	0.01	0.308	0.011	0.069	0.875	0	0.394	0.051	0.055
0.039	0.22	0.034	0.042	0.024	0.028	0.057	0.044	0.015	0.078	0.237	0	0.462	0.06	0.055
0.204	0.059	0.04	0.097	0.058	0.018	0.222	1.81	0.028	0.056	1.11	0	0.494	0.051	0.06
0.039	0.074	0.032	0.022	0.032	0.031	0.016	0.078	0.009	0.056	1.05	1	0.538	0.062	0.065
0.039	0.071	0.032	0.083	0.017	0.018	0.02	0.402	0.006	0.085	0.854	0	0.454	0	0.065
0.043	0.051	0.037	0.19	0.034	0.04	0.015	1.35	0.011	0.063	1.05	0	0.404	0.064	0.071
0.225	0.045	0.039	0.154	0.089	0.033	0.034	1.7	0.016	0.063	0.441	0	0.486	0.051	0.071
0.039	0.156	0.032	0.035	0.01	0.036	0.055	1.55	0.008	0	0.369	0	0.34	0.051	0.056
0.051	0.039	0.032	0.044	0.024	0.018	0.051	0.003	0.367	0.192	0.389	5	0.628	0.674	0.15
0.315	0.039	0.032	0.051	0.017	0.046	0.322	0.111	0.632	0.197	0.59	3	0.704	0.069	0.123
0.072	0.165	0.037	0.055	0.109	0.024	0.051	0.665	0.012	0.098	1.88	0	0.414	0	0.056
0.05	0.039	0.032	0.022	0.024	0.024	0.042	0.08	0.018	0	1.3	0	0.556	0.053	0
0.039	0.047	0.032	0.047	0.088	0.032	0.03	0.063	0.018	0.056	0.748	0	0.58	0.063	0.066
0.049	0.084	0.036	0.026	0.021	0.033	0.026	0.595	0.01	0.056	0.326	0	0.38	0.055	0
0.045	0.067	0.043	0.022	0.017	0.018	0.039	0.964	0.01	0.056	0.49	0	0.38	0.051	0.055
0.039	0.072	0.032	0.053	0.038	0.043	0.041	0.952	0.005	0.075	0.569	0	0.344	0.051	0.06
0.067	0.046	0.035	0.196	0.036	0.028	0.021	0.497	0.019	0.062	0.369	0	0.39	0.051	0.055
0.07	0.041	0.044	0.169	0.05	0.028	0.046	0.045	0.025	0	0.258	0	0.468	0.051	0.071
0.039	0.042	0.05	0.106	0.044	0.037	0.023	0.047	0.037	0.056	0.13	1	0.59	0.066	0.086
0.388	0.039	0	0.05	0.048	0.024	0.231	0.058	0.143	0.065	0.147	1	0.66	0.087	0.199
0.949	0.039	0.048	0.022	0.074	0.035	0.425	0.059	0.307	0.056	0.205	6	0.758	0.198	0.637
0.039	0.117	0.032	0.022	0.021	0.027	0.019	0.16	0.008	0.061	1.43	0	0.37	0.061	0.055
0.043	0.069	0.038	0.062	0.055	0.02	0.007	0.277	0.01	0.07	4.53	0	0.444	0.051	0.055
0.039	0.094	0.035	0.027	0.034	0.027	0.042	0.051	0.012	0.277	1.32	0	0.444	0.081	0
0.041	0.042	0.043	0.111	0.04	0.018	0.014	0.058	0.02	0.093	0.363	0	0.422	0.051	0.055
0.039	0.046	0.044	0.182	0.108	0.018	0.048	0.045	0.006	0.075	0.365	0	0.376	0.051	0.072
0.039	0.05	0.038	0.056	0.022	0.018	0.04	0.015	0.011	0.064	1.02	0	0.534	0.051	0
0.064	0.042	0.032	0.166	0.042	0.032	0.081	0.006	0.032	0	0.497	1	0.508	0.051	0.066
0.039	0.039	0.032	0.022	0.02	0.033	0.067	0.002	0.022	0	0.32	0	0.544	0.27	0.059
0.043	0.177	0.032	0.026	0.024	0.023	0.03	0.514	0.011	0.153	0.869	0	0.512	0.051	0.058
0.053	0.187	0.038	0.06	0.087	0.026	0.055	0.806	0.083	0.148	0.471	0	0.46	0.304	0.089
0.044	0.039	0.037	0.037	0.028	0.024	0.04	0.076	0.014	0.083	1.7	0	0.458	0.058	0.074
0.039	0	0.049	0.022	0.02	0.027	0.015	0.002	0.008	0.056	1.97	0	0.4	0.068	0.12
0.046	0.085	0.037	0.059	0.024	0.021	0.016	0.668	0.018	0.093	0.356	0	0.478	0.051	0.055
0.039	0.039	0.036	0.042	0.027	0.023	0.039	0.032	0.016	0.073	0.229	2	0.576	0	0.059
0.822	0.042	0.039	0.047	0.023	0.019	0.488	0.065	0.833	0.078	0.37	3	0.64	0.061	0.086
0.039	0.361	0.032	0.022	0.029	0.036	0.036	0.686	0.014	0.098	1.34	0	0.494	0.064	0.055
0.069	0.073	0.032	0.035	0.097	0.018	0.066	0.042	0.01	0.092	1.28	0	0.444	0.062	0.055
0.039	0.067	0.042	0.044	0.088	0.018	0.027	0.014	0.016	0.106	0.432	0	0.486	0.051	0.055
0.048	0.074	0.034	0.039	0.054	0.024	0.012	0.334	0.011	0.056	0.85	0	0.454	0.051	0
0.039	0.053	0.046	0.043	0.024	0.018	0.046	0.433	0.008	0.063	1.09	0	0.38	0.071	0.055
0.068	0.183	0.043	0.036	0.026	0.034	0.129	0.246	0.204	0.213	1.01	0	0.564	0.724	0.613
0.042	0.051	0.035	0.022	0.017	0.03	0.029	0.021	0.01	0.07	0.157	0	0.558	0.091	0.093
1.06	0.041	0	0	0.174	0.041	0.461	0.101	0.543	0.419	0.461	0	0.692	0.058	0.212
0.919	0.042	0	0	0.17	0.041	0.444	0.095	0.624	0.378	0.468	0	0.662	0.054	0.215
1.06	0.047	0.032	0.022	0.287	0.018	0.665	0.733	0.414	0.347	0.522	0	0.618	0.068	0.124
0.039	0.319	0.046	0.022	0.028	0.022	0.035	0.916	0.013	0.198	0.785	0	0.44	0.061	0.058
0.652	0.039	0.032	0.022	1.16	0.018	0.545	0.06	0.996	0.459	0.36	2	0.678	0.106	0.445
0.039	0.061	0.037	0.022	0.01	0.018	0.036	0.537	0.005	0.063	1.7	0	0.446	0.066	0.065
0.039	0.049	0.032	0.059	0.034	0.03	0.023	0.622	0.008	0	0.93	0	0.396	0.051	0.065
0.055	0.097	0.06	0.127	0.14	0.035	0.034	0.049	0.016	0.1	0.33	0	0.5	0.051	0.068
0.039	0.046	0.051	0.063	0.061	0.043	0.052	0.005	0.024	0.056	1.84	0	0.488	0.051	0.058
0.061	0.062	0.032	0.089	0.039	0.018	0.072	0.037	0.019	0.056	0.908	0	0.518	0.067	0.061
0.043	0.367	0.041	0.029	0.096	0.018	0.036	0.703	0.016	0.211	0.897	0	0.524	0.051	0.068
0.043	0.161	0.032	0.022	0.024	0.027	0.007	1.74	0.007	0.073	2.97	0	0.396	0	0.055
0.048	0.122	0.032	0.029	0.02	0.027	0.032	0.433	0.013	0.084	0.989	0	0.506	0.061	0.058
0.039	0.062	0.044	0.022	0.017	0.018	0.031	0.256	0.008	0.153	1.46	0	0.476	0.051	0
0.043	0.041	0.041	0.036	0.027	0.029	0.037	0.008	0.01	0.067	0.973	0	0.398	0.051	0.055
0.493	0.039	0.035	0.043	0.032	0.018	0.344	0.024	0.575	0.115	0.573	4	0.684	0.06	0.105
0.039	0.051	0.033	0.074	0.043	0.033	0.036	0.081	0.057	0.056	0.339	0	0.478	0	0.07
0.039	0.124	0.035	0.042	0.031	0.026	0.031	0.3	0.01	0.124	0.173	0	0.408	0.051	0.055
0.039	0.083	0.032	0.022	0.011	0.029	0.037	0.554	0.008	0.056	1.41	0	0.464	0.071	0
0.577	0.042	0.032	0.022	0.768	0.028	0.589	0.095	0.529	0.199	0.147	7	0.772	0.524	1.29
0.039	0.039	0.032	0.022	0.014	0.038	0.013	0.002	0.013	0	1.59	1	0.49	0.051	0.066
0.064	0.043	0.032	0.106	0.056	0.04	0.044	0.01	0.046	0.056	0.12	0	0.562	0.053	0.097
0	0.064	0.045	0.052	0.026	0	0.006	1.05	0.005	0.133	1.35	0	0.456	0.138	0.056
0	0.039	0.043	0.03	0.034	0.018	0	1.43	0.005	0.056	1.03	0	0.316	0.051	0.06
