H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
1.35	0.033	0.016	0.082	0.209	0.088	0.082	1.79	0.118	0.122
0.384	0.017	0.064	0.784	0.071	1.99	0.098	16.1	0.164	0.0857
0	0.016	0.037	0.056	0.12	0.126	0.118	2.98	0.032	0.019
0.224	0.036	0.016	0.07	0.117	0.197	0.164	0.997	0.036	0.19
0.273	0.017	0.042	1.16	0.071	0.827	0.082	0.655	0.87	0.151
0.197	0.024	0.016	0.062	0.071	0	0.082	0.471	0.032	0.135
0	0.02	0.034	0.038	0.093	0.084	0.082	0.509	0.034	0.0425
0	0.072	0.016	0.056	0.116	0	0.082	0.485	0.04	0.0297
0.141	0.021	0.016	0.094	0.2	0.283	0.194	0.764	0.09	1.39
0	0.012	0.04	0.083	0.266	0.063	0.102	4.61	0.039	1.14
0	0.032	0.038	0.06	0.071	0	0.106	0.032	0.033	0.0045
0	0.03	0.016	0.077	0.151	0.063	0	1.22	0.032	0.111
0.362	0.011	0.022	0.063	0.114	0.063	0.102	0.086	0.032	0.0197
0.161	0.033	0.064	0.139	0.085	0.063	0.097	0.097	0.042	0.016
0.322	0.02	0.02	0.091	0.101	0.063	0.082	0.094	0.042	0.016
0	0.021	0.026	0.056	0.104	0.13	0.082	2.8	0.032	0.0279
0	0.019	0.062	0.041	0.135	0	0.082	0.141	0	0.0689
0	0.03	0.044	0.05	0.093	0.097	0	3.84	0.039	0.0201
0	0.018	0.037	0.052	0.095	0.063	0.082	0.136	0.042	0.0165
0.128	0.016	0.04	0.288	0	0.422	0.114	0.082	0.714	0.186
0.04	0.03	0.016	0.058	0.071	0.152	0.094	0.581	0.036	0.0828
0.04	0.028	0.03	0.038	0.1	0	0.082	4.47	0.034	0.0448
0.189	0.028	0.03	0.055	0.152	0.063	0.082	3.52	0.032	0.0891
0.58	0.817	0.184	0.324	0.494	0.571	0.363	0.004	0.044	0.0015
0.23	0.031	0.025	0.112	0.071	0.208	0.139	0.056	0.045	0.589
