H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0.17	0.007	0.035	0.08	0.071	0.063	0	0.004	0.033	5e-04
0	0.016	0.027	0.056	0	0.212	0	0.004	0.034	0
0	0.027	0.035	0.038	0.132	0	0	0.004	0.042	0
0.72	0.023	0.028	0	0.152	0.063	0.082	3.1	0.032	0.0132
0.487	0.007	0.034	0	0	0	0.082	0.046	0.039	0
0	0.048	0.027	0.047	0.096	0.299	0.096	0.004	0.141	0.001
0.363	0.017	0.045	0.044	0.071	0.063	0.097	0.004	0.045	0.035
0	0.053	0.03	0.042	0.071	0.063	0.082	0.084	0.034	0.0111
0.114	0.044	0.048	0.123	0.162	0.144	0.146	0.156	0.043	0.0242
0	0.015	0.039	0.085	0.071	0.063	0.082	0.004	0.036	0
1.06	0.013	0.034	0.056	0	0	0	0.004	0.038	0
0.353	0.018	0.033	0.059	0	0.138	0	0.004	0.038	0
0.394	0.007	0.042	0.538	0	0.423	0	0.269	0.338	0.0567
0	0.025	0.035	0.08	0	0.063	0.082	0.004	0.041	0
0	0.018	0.05	0.097	0	0.063	0.082	0.004	0.046	0
0.188	0.015	0.053	0.272	0.071	0.229	0.119	0.029	0.298	0.0194
0.363	0.007	0.057	0.066	0.071	0.167	0.082	0.004	0.035	0
0.066	0.025	0.052	0.066	0	0	0.098	0.004	0.032	0
0	0.027	0.05	0.049	0.096	0.063	0.082	0.004	0.032	0
0.17	0.019	0.039	0.073	0.071	0.063	0.082	0.004	0.048	0
0	0.01	0.025	0.047	0.071	0.079	0.092	0.004	0.036	0.001
0.217	0.007	0.042	0.086	0	0.1	0.089	0.023	0.26	0.0015
0.218	0.007	0.07	0.038	0.071	0	0.082	0.004	0.035	0
0	0.023	0.029	0.052	0.071	0.063	0.082	0.016	0.032	0
0	0.033	0.05	0.05	0	0.063	0	0.101	0.051	0
0.306	0.024	0.079	0.049	0.071	0.063	0.082	0.004	0.032	0
0	0.056	0.031	0.124	0.071	0.102	0.089	0.013	0.042	0.00114
0	0.007	0.016	0.08	0.079	0.097	0.122	0.004	0.048	0.00175
0	0.011	0.049	0.129	0.071	0.063	0.089	0.004	0.042	0.00206
0	0.024	0.06	0.094	0.071	0.063	0.082	0.026	0.043	0.00136
0	0.042	0.061	0.056	0.071	0	0.082	0.199	0.057	0.00609
0	0.039	0.031	0	0.071	0.063	0.082	0.004	0.034	0
0	0.011	0.016	0.051	0	0.063	0.082	0.004	0.039	0
0	0.015	0.044	0.048	0.071	0	0.082	0.004	0.032	0
0	0.017	0.032	0.056	0.079	0.063	0.082	0.372	0.032	0.0826
0	0.037	0.054	0.076	0.071	0.063	0	0.042	0.044	0
0	0.038	0.056	0.066	0.071	0.063	0.082	0.004	0.036	0.00125
0	0.007	0.048	0.075	0	0	0.082	0.004	0.034	0
0.224	0.03	0.024	0	0	0	0	0.114	0.032	0
0.282	0.022	0.036	0.056	0.071	0	0	0.116	0.042	0
0.04	0.021	0.044	0.088	0	0	0.082	0.004	0.032	0
0	0.007	0.024	0	0.071	0.212	0.082	0.004	0.042	0
0.472	0.019	0.035	0.059	0.071	0	0.082	0.075	0.041	0.00527
0	0.01	0.016	0.044	0.117	0.063	0.082	0.217	0.032	0.0474
0	0.031	0.069	0.058	0	0.063	0.082	0.004	0.035	0
0	0.021	0.058	0.056	0.071	0.063	0	0.06	0.051	0
0	0.019	0.047	0.105	0.071	0.063	0.082	0.06	0.046	0
0	0.012	0.044	0.102	0.071	0.063	0.094	0.028	0.048	0.0085
0	0.015	0.053	0.063	0	0	0.082	0.042	0.033	0.0013
0	0.011	0.076	0.07	0	0.063	0	0.12	0.036	0
0	0.019	0.052	0.04	0	0.063	0	0.004	0.032	0
0	0.021	0.032	0.081	0	0.063	0.082	0.004	0.032	0
0	0.039	0.059	0	0.071	0.164	0.1	0.004	0.036	0
0	0.007	0.041	0.07	0.096	0	0.082	0.004	0.037	0.00273
0	0.028	0.016	0	0.071	0	0.082	0.073	0.037	0.0872
0.066	0.007	0.027	0.04	0	0	0	0.004	0.032	0.00518
0	0.019	0.02	0.082	0.071	0	0.082	0.004	0.034	0
0	0.024	0.049	0.056	0	0	0.082	0.004	0.039	0
0.188	0.036	0.041	0.04	0	0	0	0.004	0.034	0
0.197	0.013	0.05	0.111	0	0.316	0	0.004	0.037	0
0	0.019	0.049	0.038	0	0.063	0.082	0.004	0.038	0
0	0.042	0.028	0.05	0	0.063	0.082	0.028	0.032	0
0.105	0.026	0.044	0.051	0	0	0	0.028	0.036	0
0.123	0.046	0.027	0	0.233	0.063	0.082	0.293	0.038	0.116
