H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0.178	0.04	0.048	0.098	0.168	1.25	0.177	0.585	0.074	0.132
0	0.064	0.048	0	0	0	0	0.234	0.032	0.0771
0	0.03	0.048	0.044	0.073	0.297	0.082	0.22	0.047	0.0357
0	0.21	0.048	0.066	0	0	0.026	0.011	0.032	0.0938
0.5	0.054	0.052	0.382	0.079	0.107	0.109	0.087	0.123	0.0347
0.022	0.059	0.05	0	0.11	0.089	0.063	0.033	0.034	0.0397
0.022	0.037	0.048	0.038	0.09	0	0.051	0.079	0.036	0.0464
0.022	0.043	0.1	0.038	0.515	0	0	0.155	0.033	0.123
0.022	0.039	0.048	0.135	0.071	0.086	0.083	0.029	0.045	0.208
0.938	0.03	0.048	0.533	0.597	0.201	0.107	0.05	0.632	0.0459
0.022	0.03	0.048	0.038	0.071	0	0.036	0.036	0.032	0.0356
0.07	0.042	0.048	0.066	0.082	0.092	0.093	0.024	0.036	0.0239
0.022	0.043	0.048	0.038	0.077	0.076	0.044	1.52	0.043	0.0645
0.111	0.036	0.058	0.038	0.071	0	0.018	0.113	0.032	0.0303
0.845	0.03	0.048	0.647	0.4	0.195	0.177	0.027	0.564	0.079
0.044	0.037	0.082	0.059	0.154	0.179	0.018	0.14	0.039	0.0889
0.282	0.05	0.062	0.183	0.118	0.084	0.131	1.7	0.061	0.0425
0.97	0.036	0.048	1.18	6.14	0.194	0.122	0.213	0.266	0.205
0.022	0.03	0.048	0.038	0.091	0.147	0.062	0.206	0.036	0.0375
0.083	0.038	0.056	0.038	0.14	0.203	0.094	0.426	0.032	0.0325
0.113	0.035	0.048	0.11	0.071	0.231	0.055	0.047	0.085	0.0568
0.694	0.05	0.056	0.71	0.566	0.663	0.066	0.012	0.337	1.55
0.218	0.035	0.05	0	0.132	0.426	0.075	1.05	0.039	0.098
0.07	0.04	0.048	0.082	0.083	0.192	0.115	3.13	0.032	0.173
0.022	0.053	0.048	0.047	0.202	0.095	0.035	2.58	0.04	0.0665
0.142	0.03	0.048	0.064	0.152	0.129	0.118	0.038	0.045	0
0	0.03	0.079	0.038	0	0	0	0.078	0.032	0
0	0.04	0	0.049	0.139	0.244	0.035	0.128	0.032	0.0559
0.022	0.042	0.048	0.038	0.088	0	0.018	0.826	0.032	0.0318
0	0	0.199	0	0	0	0	0.314	0	0.0142
0.962	0.041	0.048	0.072	0	0.103	0.018	0.659	0.048	0.0703
0.722	0.036	0.058	0.052	0.098	0.205	0.101	0.2	0.034	0.14
0	0.033	0.048	0.082	0.093	0.447	0.068	2.29	0.048	0.0345
0.18	0.047	0.058	0.289	0.071	0.335	0.127	0.786	0.098	0.0824
0.289	0.038	0.048	0.545	0.306	0.233	0.076	0.045	0.392	0.0979
0.17	0.054	0.09	0.038	0.086	0.063	0.018	0.557	0.049	0.0618
0.215	0.033	0.057	0.274	0.091	0.214	0.133	0.942	0.096	0.0571
0	0.056	0.048	0.038	0	0	0.018	0.024	0.036	0.0244
0.704	0.042	0.051	0.381	0.478	0.148	0.135	0.342	0.077	0.039
0	0.03	0.068	0.063	0.084	0.063	0.018	0.213	0.032	0.0364
1.45	0.035	0.048	0.562	0.358	0.721	0.169	0.221	0.917	0.056
