H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.044	0.021	0.039	0.03	0.027	0.021	0.023	0	0.01	0.021	1.03	0	0.35	0.048	0.055
0.035	0.029	0.035	0.035	0.029	0.021	0.022	0.128	0.007	0.021	0.254	0	0.374	0.057	0.06
0.031	0.011	0.033	0.032	0.042	0.034	0.01	0	0.01	0.021	0.214	0	0.382	0.051	0.055
0.031	0.03	0.038	0.032	0.027	0.027	0.03	0.07	0.008	0	0.226	0	0.38	0.067	0.055
0.034	0.019	0.043	0	0.015	0.024	0.005	0	0.008	0	0.334	0	0.286	0.048	0.071
0.033	0.027	0.052	0.026	0.023	0.024	0.028	0	0.01	0	0.463	0	0.35	0	0.055
0.031	0.027	0.035	0.028	0.004	0.033	0.019	0	0.009	0	0.043	0	0.388	0.056	0.062
0.044	0.036	0.033	0.043	0.004	0.028	0.014	0	0.012	0	0.223	0	0.36	0.048	0.055
0.033	0.045	0.032	0.055	0.004	0.027	0.019	0.093	0.014	0.021	0.239	0	0.324	0.048	0.055
0	0.038	0.032	0.032	0.004	0.028	0.014	0	0.01	0.1	0.771	0	0.386	0	0
0.045	0.033	0.032	0.045	0.022	0.038	0.019	0.077	0.006	0.021	0.271	0	0.31	0.048	0.055
0.034	0.022	0.033	0.034	0.015	0.025	0.005	0	0.006	0	0.061	0	0.368	0.048	0.061
0.032	0.013	0.032	0	0.004	0.024	0.005	0	0.008	0	0.452	0	0.348	0.048	0.055
0	0.03	0.035	0.021	0.004	0.024	0.005	0	0.006	0	0.063	0	0.334	0	0.067
0.033	0	0.032	0	0.004	0.025	0.01	0	0.006	0	1.04	0	0.388	0.048	0
0.031	0.045	0.036	0.041	0.01	0.042	0.017	0.353	0.007	0.021	0.037	0	0.32	0.048	0.055
0	0.057	0.032	0.032	0.015	0.027	0.014	0.357	0.006	0	0.064	0	0.286	0.048	0.055
0	0.033	0.037	0.043	0.013	0.024	0.01	0	0.008	0	0.023	0	0.312	0.048	0.066
0	0.024	0.036	0.028	0.01	0.018	0.01	0	0.004	0	0.756	0	0.334	0.048	0.055
0.035	0.023	0.04	0.042	0.01	0.045	0.035	0.147	0.006	0.021	0.298	0	0.436	0.051	0.055
0.034	0.021	0.033	0.036	0.019	0.057	0.023	0.168	0.007	0	0.051	0	0.326	0.048	0.071
0.033	0.025	0.033	0.028	0.013	0.047	0.014	0	0.009	0	0.164	0	0.55	0.048	0.055
0.033	0.028	0.035	0	0.015	0.038	0.032	0	0.01	0	0.063	0	0.376	0.053	0.055
0	0.038	0.032	0.026	0.01	0.03	0.03	0	0.005	0	0.158	0	0.344	0.055	0.055
0.031	0.019	0.032	0.021	0.015	0.024	0.005	0	0.007	0	0.103	0	0.31	0.048	0.055
0.034	0.011	0.032	0	0.01	0	0.023	0	0.006	0	0.77	0	0.334	0	0
0.031	0.025	0.035	0.029	0.004	0.028	0.01	0	0.008	0	0.057	0	0.302	0.048	0.071
0.033	0.011	0.033	0.088	0.007	0.021	0.014	0.498	0.025	0.138	0.612	0	0.324	0.048	0.061
0	0	0	0	0.004	0	0.005	1.77	0	0	0.081	0	0.512	0	0
0.034	0.06	0.037	0.047	0.025	0.041	0.017	0.777	0.019	0.042	0.563	0	0.458	0.052	0.055
0.04	0.02	0.045	0.027	0.025	0.102	0.028	0	0.006	0	0.225	0	0.41	0.056	0.055
0	0.013	0.034	0.054	0.033	0.041	0.019	0	0.011	0	0.128	0	0.3	0.048	0.067
0.039	0.031	0.041	0.025	0.004	0.023	0.028	0	0.01	0	0.886	0	0.462	0.051	0.066
0.058	0.02	0.044	0.03	0.038	0.028	0.019	0.121	0.011	0.082	1.59	0	0.346	0.054	0.075
0.039	0.097	0.037	0.035	0.021	0.032	0.032	0.081	0.009	0.022	0.313	0	0.376	0.048	0.061
0.034	0.011	0.036	0.03	0.012	0.037	0.028	0	0.008	0	1.3	0	0.428	0.048	0.055
0.033	0.02	0.036	0.038	0.021	0.024	0.028	0	0.011	0	0.563	0	0.464	0.056	0.06
0.046	0.027	0.036	0.03	0.021	0.102	0.046	0	0.008	0	0.215	0	0.338	0.048	0.055
0	0.014	0.049	0.035	0.01	0.038	0.023	0	0.011	0	0.329	0	0.46	0.055	0.071
0.039	0.015	0.034	0.032	0.021	0.032	0.019	0	0.011	0	1.08	0	0.398	0.048	0.055
0.031	0.019	0.032	0	0.027	0.033	0.014	0	0.01	0	0.16	0	0.36	0.058	0.08
0	0	0	0	0.004	0	0.005	0.438	0.007	0	0.195	0	0.344	0	0
0	0	0	0	0.004	0.023	0.005	0.037	0	0	1.29	0	0.428	0	0
0	0	0	0.021	0.004	0	0.005	0.834	0	0	0.173	0	0.364	0	0
0	0	0	0	0.004	0	0.005	0.203	0	0	0.322	0	0.468	0	0
0.033	0.052	0.036	0	0.01	0.028	0.019	0.913	0.009	0.021	0.451	0	0.378	0.048	0.055
0.035	0.055	0.033	0.025	0.015	0.035	0.036	1.59	0.007	0.05	2.51	0	0.478	0.048	0.06
0.044	0.038	0.033	0.045	0.028	0.038	0.039	0	0.016	0.021	0.223	0	0.48	0.061	0.063
