H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0	0.037	0.033	0.028	0.014	0.027	0.034	0.325	0.01	0.047	1.17	0	0.482	0.048	0
0.039	0.014	0.032	0.069	0.021	0.028	0.042	0	0.009	0.021	0.327	4	0.636	0.048	0
0.642	0.011	0.035	0.025	0.618	0.025	0.828	0.127	0.233	2.45	0.88	4	0.724	0.059	0.086
0.034	0.014	0.032	0.032	0.014	0.033	0.01	0	0.009	0	1.9	2	0.634	0.048	0.055
0.032	0	0.04	0.03	0.004	0.032	0.023	0	0.01	0	0.308	1	0.604	0.048	0.055
0.057	0.014	0.032	0.041	0.016	0.056	0.034	0	0.011	0	0.193	0	0.576	0.063	0.055
0.042	0.05	0.033	0.037	0.004	0.021	0.014	0.07	0.011	0.046	1.44	0	0.428	0.048	0.055
0.041	0.05	0.033	0.04	0.052	0.022	0.026	0.102	0.013	0.05	0.693	0	0.556	0.062	0.067
0.044	0.015	0.032	0.046	0.039	0.036	0.054	0.07	0.013	0.04	0.667	7	0.616	0.048	0.092
0.035	0.024	0.039	0.028	0.032	0.032	0.01	0.164	0.013	0.064	0.1	0	0.588	0.048	0.055
0.068	0.011	0.035	0.122	0.4	0.028	0.171	0.117	0.285	0.103	0.296	2	0.626	1.1	0.541
0.036	0.114	0.036	0.057	0.018	0.033	0.03	0.756	0.007	0.04	0.282	0	0.414	0.048	0.06
0.045	0.096	0.043	0.033	0.01	0.039	0.005	0.074	0.008	0.03	0.682	0	0.316	0.057	0.055
0.034	0.07	0.033	0.062	0.01	0.021	0.018	0.07	0.006	0.021	2.63	0	0.458	0.048	0.067
0.036	0.074	0.039	0.051	0.019	0	0.016	0.215	0.009	0.021	2.16	0	0.334	0.048	0.055
0.274	0.011	0.032	0.042	0.558	0.038	0.651	0	0.263	0.172	0.225	3	0.724	0.055	0.138
0.274	0.011	0.032	0.042	0.558	0.038	0.651	0	0.263	0.172	0.225	3	0.722	0.055	0.138
0.034	0.044	0.036	0.032	0.01	0.035	0.01	0.312	0.008	0.072	1.39	0	0.48	0	0
0.465	0.015	0.033	0	1	0.028	0.993	0.112	1.27	0.261	0.765	0	0.622	0.054	0.107
0.034	0.057	0.032	0.037	0.014	0.021	0.01	0.182	0.009	0.021	0.238	0	0.31	0.048	0.055
0.031	0.022	0.032	0.026	0.014	0	0.01	0.091	0.008	0	2.37	0	0.506	0	0.055
0.044	0.052	0.033	0.034	0.004	0.029	0.032	0.147	0.008	0.028	0.438	0	0.348	0.066	0
0.034	0.083	0.038	0.06	0.014	0.026	0.034	0.192	0.011	0.026	0.315	0	0.434	0.057	0.065
0.339	0.011	0.032	0.04	0.175	0.018	0.26	0.07	0.211	0.106	0.199	3	0.698	0.189	0.22
0	0.04	0.036	0.034	0.025	0.021	0.018	0.848	0.007	0.021	0.966	0	0.432	0.048	0.055
0.038	0.018	0.054	0.041	0.046	0.033	0.038	0.11	0.012	0.026	0.509	0	0.452	0.078	0.06
0.501	0.031	0.034	0.069	0.154	0.036	0.354	0	0.127	0.044	0.217	2	0.632	0.048	0.13
0	0.037	0.045	0	0.004	0.021	0.022	0.044	0.003	0.068	2.87	0	0.536	0.062	0.055
0.033	0.017	0.032	0.034	0.015	0.025	0.022	0.078	0.006	0.021	0.412	1	0.68	0.048	0.055
0.033	0.033	0.036	0.041	0.01	0.042	0.014	0	0.008	0.057	2.33	0	0.474	0	0.055
0.033	0.02	0.058	0	0.004	0.021	0.005	0.037	0.007	0.043	4.07	2	0.472	0.048	0.055
0.031	0.049	0.032	0.045	0.038	0	0.014	0	0.009	0	2.77	0	0.44	0.048	0.063
0.035	0.036	0.032	0	0.018	0.025	0.014	0	0.009	0	0.083	0	0.346	0.048	0.055
0.039	0.106	0.035	0.031	0.058	0.018	0.017	0.974	0.016	0.07	1.29	0	0.352	0.058	0.066
0.031	0.017	0.033	0.048	0.041	0.022	0.019	0.11	0.011	0	3.26	0	0.356	0.048	0.055
0.052	0.042	0.034	0.028	0.014	0.025	0.022	0.091	0.007	0.021	1.66	0	0.392	0.056	0.055
0.031	0.056	0.033	0.04	0.031	0.028	0.014	0.783	0.01	0.049	0.064	0	0.312	0.048	0.063
0.038	0.07	0.033	0.065	0.01	0.021	0.005	0.727	0.006	0.026	0.135	0	0.37	0.076	0.055
0.035	0.064	0	0	0.01	0.018	0.024	0.78	0.008	0.021	3.93	0	0.462	0.048	0.055
1.08	0.018	0.038	0.038	0.535	0.025	0.785	0.459	0.258	0.425	0.186	0	0.59	0.054	0.09
0	0.076	0.033	0.021	0.028	0.018	0.014	1.42	0.007	0.039	2.29	0	0.43	0.048	0.055
0.047	0.047	0.036	0.048	0.033	0.027	0.005	0.07	0.015	0.094	0.549	0	0.448	0.048	0.089
0.034	0.034	0.032	0	0.01	0.025	0.029	0.662	0.008	0.085	1.57	0	0.462	0.048	0.055
1.08	0.015	0.032	0.045	0.564	0.023	0.698	0.348	0.215	0.598	0.249	0	0.524	0.056	0.145
0.041	0.027	0.039	0.021	0.014	0.026	0.026	0	0.006	0	1.14	1	0.386	0.048	0.055
