H3K9ac	H3K9me3	H3K27me3	H3K4me3	H3K36me3	H3K27ac	H3K4me1	RNA_seq	DNase	GRO_seq
0.155	0.043	0.051	0.038	0.072	0.186	0.068	0.004	0.036	0
0.073	0.038	0.079	0.044	0.109	0.085	0.071	0.007	0.036	0.012
0.022	0.037	0.048	0.038	0.082	0.37	0.093	0.006	0.034	0
0.07	0.033	0.052	0.038	0.071	0.114	0.061	0	0.032	0
0.098	0.044	0.056	0.038	0.071	0	0.049	0	0.032	0
0.155	0.04	0.067	0.066	0.126	0	0.051	0.008	0.035	0
0.143	0.064	0.056	0.113	0.105	0.078	0.241	0.011	0.183	0.0186
0.152	0.034	0.05	0.047	0.097	0.063	0.076	0.006	0.038	0
0.104	0.047	0	0.038	0.124	0.098	0.06	0.269	0.033	0.0361
0	0.042	0.063	0.038	0	0	0	0.013	0.035	0
0.282	0.037	0.051	0.038	0	0	0.041	0.176	0.032	0.0153
0.089	0.039	0.048	0.038	0	0.077	0.045	0.017	0	0
0.022	0.036	0.052	0.049	0.071	0	0.018	0.007	0.032	0
0	0.03	0	0.064	0	0	0.033	0.049	0.032	0
0	0.03	0.055	0.038	0	0	0	0.002	0.032	0
0	0.03	0.048	0.038	0	0	0	0.002	0.04	0
0	0.03	0.048	0	0	0	0	0.046	0.049	0
0.066	0.036	0.048	0.038	0.071	0	0.018	0.019	0.035	0
0	0.049	0.057	0.038	0.092	0	0	0.066	0.032	0.0291
0.022	0.039	0.074	0.066	0.077	0	0.048	0.002	0.034	0
0.022	0.039	0.054	0.038	0.074	0	0.061	0.009	0.032	0.0153
0	0.064	0.048	0.05	0	0	0.018	0.015	0.032	0
0	0.064	0.063	0.038	0	0.248	0	0	0.032	0
0	0.036	0.048	0.051	0	0	0.018	0.004	0.032	0
0	0.042	0.048	0.038	0	0	0	0.031	0.032	0
0	0.03	0.048	0.08	0.071	0	0.018	0.004	0.033	0
0	0.04	0.068	0.038	0	0	0	0.096	0.032	0
0.022	0.04	0.051	0.038	0.071	0.123	0.018	0.031	0.043	0
0	0.04	0.048	0.038	0	0	0	0.006	0.032	0
0.022	0.03	0.048	0.038	0.104	0	0.083	0.129	0.034	0.0928
0.151	0.033	0.053	0.095	0.077	0.207	0.13	0.046	0.135	0.128
0.082	0.047	0.052	0.05	0.096	0.276	0.096	0.009	0.092	0
0.273	0.03	0.058	0.038	0.099	0.239	0.089	0.011	0.033	0.0176
0.037	0.04	0.048	0.038	0.079	0.119	0.047	0	0.032	0
0.022	0	0.048	0.08	0.153	0.148	0.041	0	0.032	0
0.022	0.032	0.068	0.038	0.073	0.119	0.053	0	0.032	0
0.112	0.035	0.05	0.151	0.071	0.116	0.075	0.011	0.058	0.0153
0	0.033	0.054	0.038	0.075	0	0.076	0.011	0.039	0.0157
0.022	0.044	0.048	0.038	0	0.202	0	0.005	0.034	0.0125
0.188	0.038	0.054	0	0.134	0.153	0.018	0.002	0	0
0.022	0.035	0.052	0.106	0.071	0	0.018	0.002	0.036	0
0.022	0	0.063	0.049	0.071	0	0	0	0.033	0
0	0.04	0.048	0.066	0.071	0.08	0.082	0.017	0.032	0
0.123	0.037	0.073	0.038	0.071	0.112	0.038	0.006	0.034	0
0.133	0.03	0.065	0.052	0	0.108	0.018	0.002	0.038	0
0.022	0.045	0.108	0.038	0.072	0.194	0.05	0.28	0.032	0.0152
0.078	0.03	0	0.103	0.071	0.063	0.04	0.028	0.033	0.0127
0	0.03	0.054	0.066	0	0.063	0.018	0	0.033	0
0	0.033	0.056	0.038	0	0	0	0.013	0.043	0
0.043	0.036	0.05	0.09	0.086	0.172	0.049	0.004	0.036	0
0.022	0.045	0.068	0.038	0	0.063	0.033	0.006	0.037	0.0688
0.022	0.048	0.052	0.09	0.071	0.106	0.054	0.004	0.032	0
0.849	0.047	0.048	0.038	0.146	0.063	0.106	0.061	0.14	0.0184
0.158	0.047	0.06	0.064	0.087	0.404	0.223	0.021	0.156	0.0224
0.076	0.03	0.056	0.047	0.075	0.114	0.065	0.062	0.032	0.0144
0	0.032	0.082	0.038	0.071	0.228	0.018	0.033	0.033	0
0.027	0.036	0.07	0.06	0.078	0.101	0.079	0	0.034	0
0.122	0.041	0.1	0.038	0.109	0.112	0.046	0.004	0.033	0
0.188	0.048	0.067	0.066	0.084	0.063	0.045	0.036	0.032	0
0.387	0.03	0.07	0.268	0.08	0.085	0.092	0.098	0.116	0.0428
0.2	0.038	0.055	0.089	0.088	0.636	0.238	0.055	0.062	0.0185
0.043	0.034	0.071	0.047	0.097	0.102	0.062	0.06	0.032	0.0121
0.123	0.035	0.048	0.063	0.189	0	0.05	0.14	0.032	0
0.022	0.045	0.067	0.071	0.111	0.538	0.106	0.064	0.032	0.0278
0.037	0.034	0.051	0.088	0.071	0	0.074	0.043	0.032	0
0.145	0.034	0.054	0.038	0.078	0	0.071	0.021	0.032	0
0.107	0.039	0.048	0.044	0.135	0.084	0.072	0.892	0.032	0.018
0.022	0.052	0.05	0.046	0.071	0	0.025	0.009	0.038	0
1.76	0.044	0.048	0.527	0.324	0.181	0.22	0.044	0.831	0.041
0.109	0.057	0.055	0.038	0.114	0.25	0.093	0.338	0.042	0.0269
0.327	0.04	0.06	0.132	0.107	0.445	0.24	0.14	0.174	0.158
0.613	0.033	0.056	0.038	0.099	0	0.054	0.011	0.035	0.0409
0.19	0.034	0.048	0.07	0.078	0.185	0.111	0.005	0.034	0.0388
0.123	0.03	0.048	0.038	0.084	0.063	0.036	0	0.032	0
0	0.061	0.048	0.07	0	0.063	0.038	0.009	0.033	0.0369
0.022	0.03	0.053	0.052	0.071	0.08	0.028	0.164	0.033	0.0262
0	0.035	0.058	0	0	0	0	0	0.045	0
0	0.051	0.048	0.038	0.071	0	0.082	0	0.032	0
0	0.03	0.048	0	0	0	0	0.019	0.036	0
0.022	0.036	0.054	0.06	0.075	0.132	0.048	0.22	0	0.0173
0.136	0.057	0.048	0.059	0.079	0.098	0.103	0.018	0.032	0
0	0.047	0.048	0.038	0.626	0	0.028	0.019	0.032	0
0	0.06	0.05	0.038	0	0	0.063	0.009	0.032	0.0105
0	0.042	0.06	0.038	0	0.085	0.018	0	0.037	0
0.188	0.03	0.048	0.08	0	0.126	0.033	0.004	0.032	0
0	0.048	0.048	0.038	0.085	0.13	0.06	0.004	0.035	0
0.416	0.038	0.06	0.047	0.075	0	0.086	0.015	0.036	0
0.188	0.032	0.065	0.068	0.079	0.091	0.09	0.071	0.049	0.0152
0.075	0.03	0.068	0.038	0.071	0.084	0.1	0.695	0.044	0.0122
0.022	0.03	0.048	0.052	0.081	0.303	0.105	0.032	0.036	0.056
0.067	0.036	0.064	0.038	0.081	0	0.053	0.009	0.038	0.0135
0.022	0.045	0.048	0.047	0.095	0.063	0.026	0.003	0.032	0
0.022	0.033	0.052	0	0.071	0.063	0.064	0.002	0.032	0
0.139	0.037	0.063	0.054	0.099	0.072	0.092	0.004	0.041	0
0.119	0.033	0.048	0.038	0.129	0	0.042	0.08	0.033	0.0147
0.022	0.048	0.051	0.038	0.169	0	0.062	0.006	0.032	0
0.14	0.044	0.079	0.05	0.076	0	0.061	0.025	0.262	0.012
0	0.036	0.05	0.055	0	0.098	0.018	0.025	0.038	0
0.022	0.035	0.053	0.077	0.091	0.099	0.112	0.013	0.041	0.0121
0.349	0.03	0.05	0.038	0.071	0.106	0.062	0.02	0.032	0
0.116	0.03	0.048	0.038	0.079	0.11	0.025	0	0.045	0
0.022	0.033	0.048	0	0.144	0.136	0.028	0.002	0.033	0
0.022	0.036	0.061	0.038	0.071	0.063	0	0.004	0.036	0
0.109	0.033	0.048	0.038	0.075	0.069	0.048	0.004	0.035	0
0	0.034	0.048	0.038	0	0	0	0	0.032	0
0	0.03	0.051	0.066	0	0.156	0.018	0.015	0.032	0
0	0.033	0.072	0.049	0	0.063	0	0.006	0.032	0
0.105	0.032	0.076	0.038	0.071	0.08	0.087	0.003	0.056	0
0.022	0.037	0.073	0.038	0	0	0.018	0	0.032	0
0.022	0.051	0.057	0.038	0.071	0	0.018	0	0.034	0
0	0.032	0.071	0	0.132	0.072	0.048	0.011	0.032	0
0.23	0.045	0.07	0.074	0.078	0.244	0.065	0.013	0.036	0
0.151	0.032	0.06	0.101	0.071	0.073	0.097	0	0.054	0
0	0.032	0.048	0.066	0	0	0	0	0.032	0
0	0.032	0	0.038	0.091	0.067	0.064	0.246	0.036	0.0588
0.022	0.03	0.048	0.056	0.071	0.235	0.05	0.017	0.04	0
0	0.047	0.048	0.045	0	0	0.038	0.009	0.036	0
0.022	0.034	0.05	0.079	0.082	0.136	0.068	0.089	0.041	0
0.022	0.048	0.051	0.038	0.071	0.114	0.043	0.013	0.034	0
0.114	0.03	0.05	0.115	0.091	0.119	0.089	0.509	0.047	0.0145
0.056	0.04	0.048	0.038	0.073	0	0.038	0.032	0.034	0.0155
0.143	0.04	0.051	0.038	0.237	0	0.072	0.033	0.032	0
0.022	0.038	0.063	0.038	0.096	0	0.03	0.047	0.032	0
0.061	0.03	0.048	0.038	0.074	0.164	0.036	0.03	0.04	0
0.064	0.04	0.058	0.038	0.075	0	0.018	0.031	0.032	0
0.022	0.051	0.1	0.044	0.071	0	0.036	0	0.044	0
0.022	0.05	0.052	0	0.077	0	0.018	0	0.032	0
0	0.034	0.048	0.038	0.071	0.063	0.018	0.002	0.032	0
0.152	0.036	0.048	0.059	0.071	0	0.042	0.139	0.035	0
0	0.048	0.062	0.038	0	0	0	0.139	0.032	0
0.022	0.034	0.051	0.097	0.071	0.114	0.072	0.083	0.044	0.0608
