H3K4me3	H3K36me3	H3K9me3	H3K4me1	H3K27ac	H3K27me3	H3K9ac	RNAseq	DNase	GROseq	deepRloop	RLFS	GC	CTCF	RAD21
0.043	0.051	0.035	0.058	0.04	0.029	0.038	0.55	0.011	0.079	0.289	0	0.404	0.042	0.082
0.046	0.088	0.048	0	0.042	0.026	0.014	0.479	0.012	0.05	1.43	0	0.37	0.037	0.085
0.06	0.046	0.039	0.118	0.038	0.023	0.082	0.041	0.015	0.066	0.874	0	0.48	0.039	0
0.031	0.133	0.032	0.044	0.033	0.015	0.071	3.1	0.011	0.122	2.23	0	0.466	0.033	0.06
0.031	0.197	0.044	0.044	0.065	0.022	0.036	0.098	0.028	0.444	0.992	0	0.446	0.04	0.066
0.032	0.076	0.034	0.108	0.066	0.029	0.057	0.808	0.02	0.077	1.51	0	0.394	0.061	0.079
0.036	0.109	0.036	0.077	0.016	0.023	0.058	0.522	0.013	0.133	1.69	0	0.482	0.033	0.06
0.074	0.074	0.039	0.07	0.081	0.028	0.078	0.754	0.02	0.309	0.125	0	0.442	0.044	0.083
0.031	0.053	0.066	0.044	0.013	0.055	0.01	0.074	0.012	0.06	1.08	0	0.422	0.038	0.06
0.05	0.051	0.044	0.052	0.042	0.014	0.041	0.886	0.016	0.05	1.6	0	0.462	0.036	0.23
0.035	0.079	0.032	0.063	0.023	0.027	0.053	0.462	0.016	0.102	0.249	0	0.58	0.039	0.06
0.057	0.046	0.037	0.062	0.015	0.02	0.072	0.593	0.018	0.189	0.269	0	0.546	0.048	0.06
0.031	0.074	0.068	0.063	0.023	0.017	0.022	1.21	0.012	0.055	0.85	0	0.454	0.065	0.085
0.031	0.113	0.039	0.05	0.024	0.046	0.042	1.81	0.017	0.077	1.51	0	0.514	0.036	0.129
0.047	0.124	0.04	0.06	0.017	0.02	0.068	1.24	0.024	0.063	0.276	0	0.6	0.033	0.082
0.628	0.07	0.036	0.136	0.542	0.018	0.971	0.136	0.166	0.242	0.16	1	0.58	0.264	0.211
0.031	0.126	0.038	0.08	0.052	0.024	0.092	1.1	0.018	0.093	1.35	0	0.512	0.044	0.085
0.048	0.123	0.033	0.044	0.049	0.027	0.042	1.28	0.031	0.109	0.517	0	0.398	0.056	0.06
0.036	0.156	0.039	0.065	0.056	0.032	0.109	0.711	0.016	0.266	0.989	0	0.506	0.036	0.06
0.031	0.046	0.033	0.066	0.024	0.014	0.02	0.024	0.013	0.095	3.82	0	0.5	0.086	0.06
0.031	0.046	0.038	0.063	0.046	0.016	0.014	0.518	0.009	0.092	0.155	0	0.322	0.044	0.06
0.035	0.093	0.041	0.102	0.03	0.02	0.066	0.08	0.031	0.067	0.266	1	0.526	0.051	0.06
0.031	0.198	0.037	0.253	0.046	0.03	0.114	1.24	0.04	0.133	1.11	2	0.59	0.074	0.162
0.038	0.056	0.033	0.152	0.058	0.024	0.07	0.04	0.038	0.067	1.49	0	0.456	0.059	0.104
0.031	0.046	0.038	0.085	0.052	0.018	0.028	1.85	0.013	0.053	1.78	0	0.398	0.045	0.06
0.031	0.063	0.046	0.078	0.026	0.033	0.005	1.64	0.005	0.055	0.448	0	0.348	0.039	0.06
0.031	0.046	0.037	0.044	0.051	0.022	0.05	0.634	0.019	0.059	1.13	0	0.424	0.045	0
0.042	0.097	0.036	0.068	0.029	0.032	0.046	0.94	0.013	0.082	1.04	0	0.438	0.048	0.06
0.042	0.046	0.047	0.073	0.175	0.039	0.028	1.41	0.016	0.095	0.894	0	0.404	0.064	0.093
0.053	0.085	0.043	0.101	0.076	0.021	0.014	2.79	0.012	0.091	0.375	0	0.344	0.044	0.06
0.034	0.081	0.036	0.054	0.038	0.022	0.005	4.99	0.014	0.069	1.79	0	0.286	0.046	0.06
0.045	0.063	0.035	0.044	0.044	0.041	0.025	4.51	0.012	0.196	1.23	0	0.358	0.041	0.06
0.031	0.046	0.032	0.049	0.023	0.024	0.018	0.025	0.014	0.181	2.11	0	0.452	0.046	0.06
0.031	0.046	0.032	0.056	0.022	0.027	0.022	0.151	0.013	0.053	0.836	0	0.472	0.047	0.103
0.04	0.072	0.04	0.051	0.05	0.026	0.019	0.254	0.012	0.103	2.08	0	0.414	0.05	0.06
0.034	0.093	0.039	0.054	0.023	0.029	0.025	0.368	0.004	0.101	2.8	0	0.496	0.046	0.145
0.062	0.071	0.051	0.129	0.063	0.038	0.107	0.476	0.014	0.068	1.09	0	0.47	0.047	0.06
0.031	0.051	0.035	0.196	0.055	0.019	0.055	0.05	0.03	0.172	1.05	0	0.41	0.05	0.138
0.036	0.07	0.039	0.261	0.076	0.016	0.137	0.06	0.305	0.225	0.595	1	0.596	0.493	0.458
1.08	0.046	0.038	0.136	0.455	0.029	0.943	0.248	0.769	0.384	1.03	6	0.708	0.1	0.073
0.061	0.064	0.034	0.086	0.054	0.031	0.076	2.84	0.014	0.101	2.45	0	0.5	0.046	0.094
0.031	0.046	0.032	0.051	0.012	0.047	0.038	0.016	0.017	0	1.62	0	0.46	0.033	0.06
0.031	0.085	0.032	0.044	0.02	0.02	0.039	0.737	0.013	0.06	2.47	0	0.508	0.033	0
1.01	0.064	0.036	0.111	0.419	0.032	0.874	1.02	0.083	0.073	1.34	0	0.518	0.085	0.071
0.856	0.054	0.032	0.087	0.747	0.02	0.604	0.243	0.942	0.308	0.602	0	0.638	0.092	0.06
0.033	0.046	0.037	0.044	0.035	0.034	0.033	0.217	0.013	0.098	1.26	0	0.4	0.035	0.06
0.031	0.053	0.037	0.062	0.04	0.022	0.067	2.11	0.028	0.082	0.497	0	0.532	0.041	0.06
0.045	0.091	0.05	0.14	0.053	0.025	0.131	2.1	0.023	0.11	0.461	1	0.492	0.044	0.06
0.522	0.056	0.032	0.482	0.131	0.027	0.791	0.722	0.084	0.057	0.421	2	0.71	0.21	0.073
0.034	0.054	0.039	0.137	0.187	0.014	0.092	0.033	0.018	0.09	1.15	0	0.466	0.05	0.07
0.037	0.078	0.078	0.044	0.032	0.023	0.01	0.449	0.01	0.087	0.651	0	0.366	0.047	0.073
0.036	0.046	0.04	0.044	0.051	0.016	0.005	0.346	0.01	0.089	0.781	1	0.344	0.038	0.06
0.031	0.053	0.034	0.044	0.014	0.017	0.014	0.301	0.011	0.081	0.688	0	0.41	0.046	0.06
0.031	0.061	0.034	0.044	0.019	0.021	0.022	1.19	0.005	0.05	0.637	0	0.43	0.033	0.06
0.064	0.046	0.039	0.053	0.025	0.02	0.014	0.714	0.009	0.064	1.63	0	0.436	0.033	0.06
0.057	0.126	0.049	0.07	0.021	0.02	0.034	0.088	0.01	0.083	0.224	0	0.51	0.053	0.06
0.931	0.046	0.033	0.212	0.907	0.02	0.973	0.248	0.337	0.117	0.361	0	0.688	0.086	0.073
0.048	0.057	0.033	0.044	0.028	0.019	0.01	0.743	0.005	0.073	0.614	0	0.306	0.036	0.06
0.734	0.046	0.043	0.059	0.186	0.018	0.357	0.371	0.605	0.326	0.079	0	0.584	0.063	0.069
0.035	0.046	0.032	0.044	0.036	0.017	0.03	0.906	0.011	0.09	0.958	0	0.384	0.041	0.06
0.049	0.062	0.043	0.044	0.016	0.02	0.034	0.764	0.012	0.082	1.49	0	0.41	0.076	0.06
0.038	0.052	0.09	0.052	0.018	0.026	0.014	0	0.012	0.05	0.833	0	0.438	0.033	0.07
0.031	0.092	0.032	0.044	0.015	0.018	0.034	0.882	0.011	0.158	2.15	0	0.45	0.033	0.06
0.56	0.075	0.036	0.082	0.288	0.025	0.372	7.59	0.044	0.137	0.344	0	0.42	0.166	0.071
0.031	0.087	0.037	0.044	0.014	0.02	0.021	1.24	0.027	0.159	0.458	0	0.406	0.315	0.224
0.031	0.046	0.032	0.058	0.022	0.029	0.005	0	0.013	0.05	0.65	2	0.422	0.037	0.06
0.085	0.053	0.033	0.062	0.046	0.022	0.022	0.541	0.008	0.05	0.444	0	0.318	0.043	0.06
1.41	0.057	0.043	0.054	0.241	0.015	0.6	0.48	0.144	0.121	5.2	2	0.528	0.047	0.06
0.918	0	0.032	0.199	0.799	0.015	0.745	0.173	0.471	0.134	1.12	5	0.732	0.108	0.09
0.033	0.12	0.032	0.129	0.17	0.018	0.07	0.324	0.007	0.08	2.39	0	0.512	0.044	0.06
0.397	0	0.032	0.093	0.627	0.02	0.189	0.102	1.2	0.55	0.354	2	0.608	0.136	0.086
1.17	0.046	0.038	0.219	0.559	0.019	1.32	0.308	0.092	0.064	0.294	2	0.708	0.089	0.067
1.04	0.046	0.032	0.141	1.23	0.028	1.21	0.32	0.514	0.495	0.279	0	0.624	0.105	0.06
0.031	0.057	0.047	0.044	0.029	0.02	0.048	0.368	0.01	0.106	3.52	0	0.438	0.033	0
0	0.046	0.032	0.044	0.007	0.02	0.036	0.451	0.004	0.058	2.58	0	0.514	0.033	0
1.08	0.046	0.033	0.102	0.432	0.017	0.954	0.063	0.358	1.3	0.23	2	0.71	0.123	0.06
0.038	0.053	0.032	0.044	0.03	0.017	0.005	0.381	0.007	0	0.735	0	0.3	0.046	0.073
1.13	0.046	0.037	0.063	0.823	0.029	1.06	0.839	0.39	3.73	6.15	0	0.62	0.117	0.088
0.035	0.073	0.035	0.044	0.032	0.016	0.01	0.629	0.011	0.086	0.847	0	0.384	0.038	0.06
0.097	0.094	0.032	0.11	0.027	0.03	0.027	0.849	0.013	0.112	1.06	0	0.368	0.044	0.082
1.13	0	0.032	0.122	0.722	0.021	0.663	0.797	0.257	0.102	0.869	1	0.774	0.044	0
0.033	0.052	0.038	0.054	0.026	0.022	0.021	0.016	0.008	0.083	0.672	0	0.41	0.033	0.06
0.04	0.046	0.036	0.044	0.052	0.019	0.01	0.418	0.008	0.054	0.764	0	0.292	0.033	0.06
0.031	0.057	0.032	0.073	0.039	0.019	0.02	0.451	0.009	0.058	3.68	0	0.51	0.045	0.06
0.031	0.076	0.036	0.044	0.032	0.03	0.036	0.125	0.014	0.078	0.317	0	0.456	0.033	0.06
0.055	0.052	0.036	0.047	0.049	0.022	0.042	0.016	0.018	0.05	1.1	0	0.42	0.046	0.06
0.031	0.058	0.034	0.044	0.017	0.016	0.045	0.757	0.007	0.059	3.56	4	0.49	0.054	0.06
0.031	0.098	0.033	0.044	0.032	0.018	0.005	0.016	0.007	0.104	1.11	0	0.314	0.033	0.06
0.047	0.046	0.036	0.044	0.038	0.037	0.005	0.039	0.009	0.08	0.279	0	0.298	0.033	0.06
0.063	0.046	0.042	0.085	0.026	0.037	0.01	0.039	0.013	0.076	1.02	0	0.38	0.062	0.262
0.035	0.149	0.049	0.09	0.052	0.026	0.026	0.53	0.013	0.484	20.4	0	0.412	0.042	0.087
0.042	0.056	0.039	0.044	0.041	0.029	0.01	0.613	0.015	0.086	1.3	0	0.41	0.04	0.068
1.35	0.055	0.047	0.094	0.322	0.026	0.588	0.06	0.564	0.647	0.387	0	0.56	0.169	0.126
0.037	0.08	0.038	0.052	0.021	0.017	0.06	1.73	0.027	0.564	1.34	0	0.482	0.047	0.06
0.049	0.046	0.037	0.434	0.273	0.02	0.309	0.042	0.404	0.213	0.2	0	0.596	0.067	0.099
0.031	0.061	0.038	0.067	0.018	0.032	0.029	1.34	0.017	0.079	2.36	0	0.496	0.049	0.106
0.031	0.08	0.044	0.156	0.045	0.018	0.109	0.151	0.034	0.077	0.433	1	0.59	0.061	0.077
0.047	0.051	0.033	0.054	0.06	0.032	0.01	0.75	0.007	0.176	0.304	0	0.3	0.044	0.06
0.073	0.081	0.033	0.103	0.008	0.019	0.026	0.633	0.008	0.05	3.78	0	0.434	0.033	0.146
0.039	0.079	0.044	0.044	0.031	0.024	0.014	0.323	0.008	0.114	0.277	0	0.378	0.051	0.094
0.042	0.083	0.036	0.051	0.031	0.023	0.014	6.2	0.008	0.145	0.834	0	0.364	0.048	0.06
0	0.094	0.039	0.11	0.023	0.021	0.072	1.22	0.018	0.13	1.42	0	0.58	0.048	0.06
0.392	0.05	0.045	0.099	0.176	0.031	0.29	0.352	0.13	0.354	1.24	0	0.466	0.111	0.129
0.105	0.084	0.041	0.074	0.062	0.018	0.091	0.341	0.013	0.146	3.72	0	0.498	0.033	0.06
0.043	0.061	0.038	0.044	0.035	0.023	0.042	0.115	0.014	0.062	1.32	0	0.46	0.044	0.06
0.031	0.046	0.043	0.044	0.007	0.014	0.045	0.028	0.007	0.077	3.91	0	0.51	0.049	0
1.17	0.057	0.032	0.245	0.193	0.022	0.407	0.217	0.139	0.185	0.725	7	0.744	0.044	0.276
